author_name,rating,published_at,text,author_image_url
Galih Rizqi Firdaus,5.0,3 minggu lalu,"Seru banget jalan-jalan ke Kota Lama Surabaya! Suasananya masih kental banget sama nuansa jaman dulu, bangunan-bangunan tua bergaya kolonialnya keren dan fotogenik banget buat yang suka hunting foto. Cocok juga buat yang pengen ngelihat …",https://lh3.googleusercontent.com/a-/ALV-UjUP07eJi-k0Wr8tvFT-Hr-lPnnyLncqtnoPWAcNbRCukGn4109D=w36-h36-p-rp-mo-ba4-br100
Restu Wijaya,5.0,2 bulan lalu,wisata heritage yang berada di kota surabaya tepatnya di surabaya utara di area jembatan merah tempat ini baru di revitalisasi oleh walikota surabaya pak eri. …,https://lh3.googleusercontent.com/a-/ALV-UjVphbpBENNzFd68ZcLj4t2Z6EJ0cRSp9x6aWBo9Lex6AVzUOpOA=w36-h36-p-rp-mo-ba6-br100
Han,3.0,2 minggu lalu,"Tempatnya cocok buat nyari spot foto. Hati-hati aja sama fotografer' yang nawarin jasa, aku ke sini kena 150 ribu. Saranku nanya dulu, harga perfoto memang 3K, tapi fotonya dia kirim semua tanpa persetujuan dulu, kita ngga bisa pilih foto …",https://lh3.googleusercontent.com/a-/ALV-UjVVj7kC2WLoSynkAkX-23deBMfDielG1RV_-9Z3GWjPDJvUsOvr=w36-h36-p-rp-mo-ba2-br100
laily meisya putri,5.0,2 minggu lalu,Salah satu kawasan liburan di Kota Surabaya dengan tematisasi yang bagus. Pemandangan bangunan khas kolonial semakin menambah nuansa keindahan dan kenyamanan. …,https://lh3.googleusercontent.com/a-/ALV-UjXI7zJ-Rh__X_NhiJO8eP6OhhXi4cFb3Rgl9ILgXRqOR10Y-pgueA=w36-h36-p-rp-mo-ba4-br100
mikael rinto,4.0,2 minggu lalu,"Nuansa klasik nan mempesona menjelajahi jejak sejarah perkembangan kota Surabaya di kawasan dengan kompleks bangunan peninggalan Belanda. Di kawasan yang sudah ditata oleh Pemkot Surabaya ini, pengunjung bisa berfoto-foto, duduk menikmati …",https://lh3.googleusercontent.com/a-/ALV-UjXfzEoLXP0MXc_itL8OqXBzEezel887pFMQbh55ZpDGmYVprbRi=w36-h36-p-rp-mo-ba6-br100
Luluk Dwi Oktrianingsih,5.0,sebulan lalu,Sangat suka dengan suasana di kota lama. Letaknya di sekitar jembatan merah Surabaya. Ada pelataran luas untuk tempat foto² di depan bangunan tua. Di sebelahnya juga ada taman luas yang sejuk. Pedagang kaki lima menjajakan minuman tanpa …,https://lh3.googleusercontent.com/a-/ALV-UjXXRHRdX5OeamhG6Lj50yjCkHRmwNZyjUKNU7TlPAgaCyVZCMUWOA=w36-h36-p-rp-mo-ba4-br100
Kanick KN,3.0,seminggu lalu,Datang pas hari minggu bertepatan tgl 17 Agustus. Terlalu banyak orang bejubel. Jadi tampak kurang menikmati fasilitas publik. Karena Agustus jadi banyak bendera dimana² dan kurang estetik. Harga makanan dan minuman berkisar antara 15-35 k,https://lh3.googleusercontent.com/a-/ALV-UjVJD1mXTpS6xTPeVTzOoZ76sQyV3H0gSvT9qSb6WF9zmprjodGN=w36-h36-p-rp-mo-ba3-br100
ida johan,5.0,2 minggu lalu,"Tempat bersejarah.
Ternyata serunya kesini tuh bukan hanya sama temen-temen looh. Tapi bareng anak juga. …",https://lh3.googleusercontent.com/a-/ALV-UjVa_ApYXcerRmxpiWOxG0B0Fc_HRH9_eDbMbKcvMzz4u0NELdpk=w36-h36-p-rp-mo-ba6-br100
Tsoetjipta,5.0,sebulan lalu,"Saya senang sekali bisa berkunjung ke Kota Lama Surabaya. Suasananya klasik dan penuh nilai sejarah, cocok banget buat jalan santai sambil menikmati sisi lain kota. Suasananya hangat dan kreatif. Banyak spot foto menarik, dan jasa …",https://lh3.googleusercontent.com/a/ACg8ocJacAYivZZGBR6Nd6i3yhXOsCX-g1eHKyqM7z78t7Y_HF-4tPE=w36-h36-p-rp-mo-br100
erfan kan,5.0,3 minggu lalu,"Komplek bangunan peninggalan era kolonial yang masih eksis dan terawat serta berfungsi sebagai kantor niaga, pemerintah saat kini. Kawasannya bebas steril dari pedagang K5,. fasilitas mulai area parkir,  toilet, konter souvenir, tersedia persewaan baju nya batik, rental Jeep dan pos jaga Satpol-PP menambah nyaman para pengunjung",https://lh3.googleusercontent.com/a-/ALV-UjVYJ3n10hlwUTgUUqzEq-jSmGjpiQXW_D-SQLY4qdqFxTcYMN0=w36-h36-p-rp-mo-ba5-br100
