author_name,rating,published_at,text,author_image_url
ayu nurcahya,3.0,sebulan lalu,"Pindah ke tempat yg lebih gede, jumlah pengunjungnya makin gede juga...

walau Deket bgt dari rumah, ini prtama kali kesini karena liat dari luar …",https://lh3.googleusercontent.com/a-/ALV-UjWgzt1Mw0LiTn2s1k354deHBJ84kR6JHW6FPzePPVNQIBCvyQL8-w=w36-h36-p-rp-mo-ba5-br100
Firdian Tri Cahyo,4.0,3 bulan lalu,"Secara mie yang disajikan ada 2 macam, ada yang gurih (mie hompimpa) ada yang manis (mie gacoan). Keduanya ada level pedas yang bisa dipilih. Strategi penjualannya menarik khususnya bagi anak muda karena harga mienya cukup ramah dikantong …",https://lh3.googleusercontent.com/a-/ALV-UjULVlhpVacR3F6Kutr65pn6Wu53480Wq6yGnNJ1hsQOOPxYHa8=w36-h36-p-rp-mo-ba6-br100
anantha pratama,1.0,3 minggu lalu,Beli mie gacoan dan dimsum take away kemasannya dg sterofoam. Pdhl foam tdk baik utk maknan panas. Sedangkan di jakarta dan surabaya menggunakan kardus mie gacoan sendiri. Knp bisa tdk sama sop nya antar kota yaa..,https://lh3.googleusercontent.com/a-/ALV-UjUoxpZPaJKjsDZREQpSS-jGBVGydr7Yx2M5DS_-s2budWEkzXY=w36-h36-p-rp-mo-ba3-br100
Rosihan Fahmi,5.0,4 bulan lalu,"Lokasi baru di Kota Jember setelah sebelumnya yang berada di jalan Sumatra. Disini lebih besar dan luas tempatnya. Begitu juga parkir kendaraannya, tapi tetap masih untuk roda 2 saja, untuk roda 4 cari sendiri di bahu jalan. Selalu ramai …",https://lh3.googleusercontent.com/a-/ALV-UjW7qR1N0fet4L0UkO0oY5Na6tm2J9ghmNKlJHErGheNkfIDtKR0RA=w36-h36-p-rp-mo-ba6-br100
Amiin Ali Achmad,5.0,3 bulan lalu,"rasanya lebih enak daripada yg sebelumnya, dipertahankan..
layanan menggunakan sistem baru dan cukup efektif, cepet juga, toilet bersih, suasana sangat ramai pengunjungnya padahal udah tengah malam.. parkit motor cukup luas, parkir mobil agak sempit karena dipinggir jalan..",https://lh3.googleusercontent.com/a-/ALV-UjXL3jTaVsewx2aoFjhP45bQSqd0xGwKCPx81tsS8pWKWPqCtv9vsw=w36-h36-p-rp-mo-ba4-br100
Andini Eka,4.0,sebulan lalu,"Tempat yang baru ini lebih bagus, lebih luas, dan pastinya lebih rame. Sistemnya sudah update sehingga lebih terkoordinir, dari awal dateng akan dicatat nama dan di beri alat untuk ambil minuman dan dimsum secara self service, untuk mie nya …",https://lh3.googleusercontent.com/a/ACg8ocIVKaijmXYz2WtlbQbPlr38pJw22Rh92aDVY0XpZwT7VdMUhQ=w36-h36-p-rp-mo-ba3-br100
Katharina B,3.0,seminggu lalu,"waktu kesini keadaan rame banget, antri dan bahkan waiting list. buat dapet meja harus antri 15 menit. mungkin bisa dibenahi lagi, apalagi petugas yg manggilin cust buat masuk antrian meja masi pake mikrofon yang menurutku suaranya bahkan …",https://lh3.googleusercontent.com/a/ACg8ocImAchEtH46UqsIyWtmiH6_FxO3HA3BgLmoYFboBup-ZOwR4g=w36-h36-p-rp-mo-ba5-br100
garlicbutterrice,5.0,2 bulan lalu,"tanpa antri pesan berdiri, tinggal duduk, scan barcode, pilih menu, langsung payment cashless, tempat luas parkiranpun juga luas.",https://lh3.googleusercontent.com/a-/ALV-UjUPjJD-MfHqoy4LT4gOz1BYkcdwkFAnzqJFycdN421tXfMg-14=w36-h36-p-rp-mo-br100
Shella Sarmila,1.0,2 bulan lalu,"Tempatnya sih ok banget, karna baru dan luas. Cuman knp pelayanan dine in nya jadi NO BANGET! Luama kali minuman dan dimsumnya, cuma mi nya doang yang cepet. Lah dikira bisa makan pedes2 gausa minum?🤯 Tolong yaa diperbaiki sistemnya, karna ojol2 cepet bangett malah yg dine in terlupakan welll …",https://lh3.googleusercontent.com/a/ACg8ocIlo813LcZx0TMTlMMpfd8dcoGz2TM7WFT108TkbPTIvvYbKuM=w36-h36-p-rp-mo-br100
Yogayoug,5.0,sebulan lalu,Pelayanannya cepat tempatnya lebih luas oke banget sih buat resto yang sekarang apalagiiiiii parkiran luas sat set bntgt buat masnya ngebantuin soal pelayanan 100 sihhh kamar mandi bersih,https://lh3.googleusercontent.com/a/ACg8ocKkth99JZ7qjZ1ekKybHBRanI2ZeCpEXcAIVZak8nfA10I05Q=w36-h36-p-rp-mo-br100
Efa Nur Qomariatun Jamilah,5.0,3 bulan lalu,"Gacoan ga pernah salah si, bagi ku masih enak banget dan khas. Lebih suka juga sistem yg sekarang, datang, waiting list, pesen lewat barcode di meja, tinggal pilih pembayaran qris/ke kasir, udah deh tinggal nunggu pesanan diantar. Untuk …",https://lh3.googleusercontent.com/a-/ALV-UjWwEiZ01StMVfEfLjL7FHPkmFoyBtywOZW2A3X7B77CqIT5lkY=w36-h36-p-rp-mo-ba4-br100
elsthetic,5.0,Diedit 3 bulan lalu,"Selain menunya enak dan harga terjangkau, pelayanannya juga baik. Pegawainya super ramah dan tempatnya juga sangat nyaman.",https://lh3.googleusercontent.com/a-/ALV-UjXBI168-4gPD7wMHDx3WC0aO7BPFmISHeCSJ4I4QBesF4jgob09=w36-h36-p-rp-mo-br100
Agung Erdiyanto,5.0,4 bulan lalu,Mie gacoan Jember dengan bangunan dan suasana yang baru. Tempat lebih luas dengan sistem pemesanan di meja. Sayangnya jarak waktu antara minuman datang dengan makanan datang sangat sangat lama. Pelayanan bisa ditingkatkan,https://lh3.googleusercontent.com/a-/ALV-UjV2CCqelwheXIx0jpQ-jn5ETe520og5Zqjyr1wr8AzOIxdhdNTz=w36-h36-p-rp-mo-ba3-br100
AgHnniaFsaa Z,5.0,2 bulan lalu,"memesan tidak perlu antri ke kasir, harga yang terjangkau tapi sangat work it, the best memang gacoan gapernah bosen 🤩🤩 …",https://lh3.googleusercontent.com/a-/ALV-UjUNws9QOpw-wJKsqXTrFHzT93PYUf4Tf7yAas_ITtCAsK9SBv4=w36-h36-p-rp-mo-br100
Risma Zakia,5.0,4 bulan lalu,"Akhirnya bintang sempurna gacoann jemberr the best😍😍 peningkatan luar biasa👍🏻👍🏻
- PELAYANAN CEPAT 25 MENIT SAMA NGASIR💯
- TEMPAT DUDUK BANYAK LUAS SEKALI PARKIR GAPERLU RIBET KYAK DLUU YG DI JALAN …",https://lh3.googleusercontent.com/a-/ALV-UjV0Fjh_ZcJSHS-gng7W080q-IVp5waPPfstRV7bAzjDQKcAFThwrw=w36-h36-p-rp-mo-ba3-br100
Syifa Najuwa,2.0,3 bulan lalu,"Makanannya enak² aja, cuma gak kuat bgt lamanya. Sampe sini jam 19.00, smpe jam 20.11 makanan belum juga dateng.
Masih ada nunggu kursi, nunggu minuman, nunggu dimsumnya dan trakhir nunggu …",https://lh3.googleusercontent.com/a-/ALV-UjWOnE2vjxSEYvegjAlrA0_sjEB7lvMfOVmGCuJsooWqPlVQXO9R=w36-h36-p-rp-mo-br100
